transcript,control_minus_DMS_fp_10_coverage
PB2015.14100.2,136.080412371
PB2015.16174.3,136.066027656
PB2015.7597.2,136.030088496
PB2015.7299.13,135.957419804
PB2015.4719.1,135.931914894
PB2015.7299.30,135.825060375
PB2015.2847.14,135.790300744
PB2015.6412.5,135.550528621
PB2015.13395.7,135.514166667
PB2015.12584.1,135.317195326
PB2015.6427.4,135.137535208
PB2015.14427.4,135.086646047
PB2015.7139.19,134.901952045
PB2015.7299.10,134.862769862
PB2015.737.10,134.82582937
PB2015.13167.5,134.821828723
PB2015.8966.6,134.731352459
PB2015.11381.2,134.70831202
PB2015.15314.4,134.673170732
PB2015.16019.1,134.518570757
PB2015.7299.11,134.402134004
PB2015.12220.3,134.293787027
PB2015.2781.2,134.290272654
PB2015.16757.2,134.238327526
PB2015.598.1,134.219075145
PB2015.12345.1,134.210421225
PB2015.6361.2,134.185040984
PB2015.1733.2,134.119135976
PB2015.6969.2,133.985010317
PB2015.7057.8,133.966842251
PB2015.7299.8,133.829701991
PB2015.15372.7,133.781786942
PB2015.7794.11,133.774462751
PB2015.11641.4,133.738854195
PB2015.5204.1,133.634530052
PB2015.9448.9,133.556996936
PB2015.1249.1,133.507680765
PB2015.8284.2,133.434782609
PB2015.10113.7,133.381205357
PB2015.14779.2,133.242950108
PB2015.3023.1,133.113661665
PB2015.5089.4,133.05631929
PB2015.13396.1,133.02012987
PB2015.3011.1,132.982352941
PB2015.8678.2,132.964285714
PB2015.15422.2,132.957421452
PB2015.11301.3,132.934095238
PB2015.15392.15,132.869767969
PB2015.11725.3,132.787706691
PB2015.3493.2,132.775557538
PB2015.2961.2,132.718055556
PB2015.13837.1,132.715716312
PB2015.2393.5,132.611074812
PB2015.15651.11,132.553070788
PB2015.7139.8,132.538274007
PB2015.12254.6,132.53411733
PB2015.10315.2,132.506262744
PB2015.9477.4,132.490823125
PB2015.15392.18,132.415588579
PB2015.8893.2,132.327112853
PB2015.16823.19,132.119983581
PB2015.11412.4,132.09107821
PB2015.4326.1,132.075032658
PB2015.10082.17,132.000054281
PB2015.4009.2,131.879916631
PB2015.15986.2,131.853811075
PB2015.14757.22,131.776206323
PB2015.3721.5,131.77019792
PB2015.417.3,131.758373089
PB2015.14997.7,131.647328244
PB2015.16814.5,131.643657196
PB2015.11605.3,131.64235645
PB2015.1051.3,131.600048938
PB2015.3345.3,131.580642284
PB2015.12900.5,131.54962963
PB2015.6483.1,131.4791682
PB2015.12073.2,131.456331561
PB2015.919.3,131.422848587
PB2015.16442.1,131.269701124
PB2015.7139.10,131.262274755
PB2015.5065.2,131.218612335
PB2015.11415.11,131.186555526
PB2015.16776.17,131.178814267
PB2015.4354.9,131.106694696
PB2015.8391.2,130.999793388
PB2015.2816.1,130.875385404
PB2015.9414.2,130.833791209
PB2015.8893.1,130.798791385
PB2015.12404.5,130.791653291
PB2015.12889.1,130.660416667
PB2015.2901.2,130.631111111
PB2015.9584.2,130.321428571
PB2015.2610.1,130.24893617
PB2015.16226.1,130.055684008
PB2015.15531.3,130.046527778
PB2015.1335.4,130.021706294
PB2015.7240.1,129.97627451
PB2015.4560.5,129.913699204
PB2015.13963.2,129.806347998
PB2015.9760.10,129.797415009
PB2015.14226.2,129.784062237
PB2015.13085.6,129.749367089
PB2015.15752.12,129.700431196
PB2015.762.3,129.580995475
PB2015.15461.2,129.576513761
PB2015.3515.2,129.562699212
PB2015.9128.5,129.445248314
PB2015.14270.2,129.413333333
PB2015.7299.19,129.250511774
PB2015.1051.8,129.163238222
PB2015.16265.1,129.138320611
PB2015.6580.4,128.975210635
PB2015.5230.6,128.889261745
PB2015.3676.14,128.862800875
PB2015.14907.3,128.836872087
PB2015.15407.1,128.8
